,Unnamed: 0,Unnamed: 0.1,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income After Taxes,Luxury expenses,Necessities,50%,30%,Income minus total expenses,possible savings,20%,50%_delta,30%_delta,20%_delta
65,65,65,3568194,10026.0,240.0,546.0,4922.0,364.0,38282.0,3954.0,5832.0,0.6093725510683873,0.4131445588004806,-455.5,-151.83333333333334,-0.04759416958361632,0.10937255106838728,0.11314455880048063,-0.24759416958361632
66,66,66,3568214,10351.0,595.0,570.0,3464.0,2007.0,25144.0,3715.0,6041.0,0.9610244988864144,0.5909958638243716,-4065.0,-1355.0,-0.6466751511294941,0.4610244988864144,0.29099586382437165,-0.8466751511294941
67,67,67,3568264,11361.75,563.0,1401.0,6391.0,1625.0,4851.0,1381.75,9417.0,7.764996907854051,1.1393527107812822,-10149.0,-3383.0,-8.368583797155226,7.264996907854051,0.8393527107812822,-8.568583797155226
68,68,68,3568324,9682.0,512.0,354.0,4590.0,2416.0,25591.4,1810.0,7360.0,1.1503864579507177,0.2829075392514673,-3284.15,-1094.7166666666665,-0.5133208812335394,0.6503864579507177,-0.017092460748532712,-0.7133208812335394
69,69,69,3568334,42901.75,1110.0,6744.0,5661.0,6030.0,229197.0,23356.75,18435.0,0.3217319598424063,0.40762749948734056,14397.5,4799.166666666667,0.25126855936159725,-0.17826804015759368,0.10762749948734057,0.051268559361597243
70,70,70,3568344,11343.0,0.0,917.0,6599.0,1105.0,44412.0,2722.0,8621.0,0.7764568134738359,0.245158966045213,-240.0,-80.0,-0.021615779519048903,0.2764568134738359,-0.05484103395478698,-0.22161577951904893
71,71,71,3568404,6506.35,230.0,602.0,2649.0,1001.0,37818.0,2024.3500000000006,4252.0,0.4497329314083241,0.2141149717065948,2948.15,982.7166666666666,0.31182505685123485,-0.0502670685916759,-0.08588502829340519,0.11182505685123484
72,72,72,3568424,17383.5,310.0,4557.0,4514.0,2185.0,54883.0,5817.5,11256.0,0.8203633183317238,0.4239928575332981,-3662.75,-1220.9166666666667,-0.2669496929832553,0.3203633183317238,0.12399285753329808,-0.46694969298325534
73,73,73,3568464,18581.5,36.0,1550.0,9306.0,2080.0,87321.0,5609.5,12936.0,0.5925722334833545,0.2569599523596844,3248.75,1082.9166666666667,0.14881872630867718,0.09257223348335453,-0.043040047640315604,-0.05118127369132283
74,74,74,3568474,5803.75,0.0,1422.0,1770.0,1165.0,23144.8,1446.75,4357.0,0.7529985137050224,0.2500345649994815,-17.550000000000182,-5.850000000000062,-0.0030330787045038513,0.25299851370502235,-0.04996543500051848,-0.20303307870450385
75,75,75,3568484,33661.5,424.0,4341.0,16732.0,3510.0,140097.0,8654.5,24583.0,0.7018851224508733,0.2471002234166328,1362.75,454.25,0.03890875607614725,0.2018851224508733,-0.0528997765833672,-0.16109124392385277
76,76,76,3568504,14099.6,294.0,1398.0,5683.0,1590.0,62719.0,5134.6,8671.0,0.5530062660437826,0.32746695578692264,1580.1499999999994,526.7166666666667,0.10077647921682424,0.05300626604378256,0.027466955786922653,-0.09922352078317577
77,77,77,3568564,4717.75,0.0,637.0,1250.0,2301.0,38594.2,529.75,4188.0,0.4340548579838422,0.05490462297443658,4930.799999999998,1643.5999999999995,0.5110405190417212,-0.06594514201615781,-0.24509537702556342,0.3110405190417212
78,78,78,3568574,13133.75,686.0,2368.0,3074.0,2571.0,71182.0,4434.75,8013.0,0.4502823747576635,0.24920626000955295,4661.75,1553.916666666667,0.2619622938383299,-0.04971762524233653,-0.050793739990447034,0.06196229383832991
79,79,79,3568584,13875.25,1022.0,1172.0,2261.0,2155.0,72260.0,7265.25,5588.0,0.30932742872958763,0.4021727096595627,4189.75,1396.583333333333,0.23192637697204535,-0.19067257127041237,0.10217270965956271,0.03192637697204534
80,80,80,3568624,30520.05,420.0,13062.0,4062.0,3520.0,123521.2,9456.05,20644.0,0.6685168214039372,0.3062162608523881,360.25,120.08333333333331,0.011666013607380758,0.1685168214039372,0.0062162608523881335,-0.18833398639261925
81,81,81,3568644,11061.0,230.0,1815.0,5459.0,2550.0,21665.0,1007.0,9824.0,1.8138010616201248,0.18592199399953846,-5644.75,-1881.583333333333,-1.042187860604662,1.3138010616201248,-0.11407800600046153,-1.242187860604662
82,82,82,3568654,6849.75,0.0,2390.0,1578.0,1820.0,71804.6,1061.75,5788.0,0.32243059636847776,0.0591466284889826,11101.4,3700.4666666666667,0.6184227751425396,-0.17756940363152224,-0.24085337151101738,0.4184227751425396
83,83,83,3568684,11288.5,40.0,1798.0,3909.0,3445.0,26583.0,2096.5,9152.0,1.3771207162472257,0.3154647707181281,-4642.75,-1547.583333333333,-0.6986043712146861,0.8771207162472257,0.015464770718128129,-0.8986043712146861
